"","DGP1a","DGP1b","DGP2","DGP3"
"MSE",0.00577873661966704,0.00594482563546442,0.0135851860006169,0.00249353373042245
"Coverage",0.953,0.951,0.943,0.97
"Int. Length",0.302157139380482,0.312066598642895,0.456863195832928,0.21809967222707
