"","DGP1a","DGP1b","DGP2","DGP3"
"MSE",0.0203605553029404,0.020206826422153,0.0388275872704262,0.00544131158095443
"Coverage",0.93,0.93,0.906,0.833
"Int. Length",0.488747771241184,0.486336374320286,0.645433976892175,0.220169757429027
