"","DGP1a","DGP1b","DGP2","DGP3"
"MSE",0.00308570668170941,0.00298680745158531,0.0178330728441291,0.00480504126876825
"Coverage",0.884,0.889,0.823,1
"Int. Length",0.158908284124311,0.158259397641458,0.380567559632952,0.696670764396536
